method,block,road_length_m,displacement
clearance,ZAF.9.3.1_1_44531,0.0000,0.0000
clearance,ZAF.9.3.1_1_44531,194.7055,34.3023
clearance,ZAF.9.3.1_1_44531,353.6455,64.2090
clearance,ZAF.9.3.1_1_44531,586.2930,104.3448
clearance,ZAF.9.3.1_1_44531,803.4723,140.2171
clearance,ZAF.9.3.1_1_44531,1003.1982,172.3747
clearance,ZAF.9.3.1_1_44531,1203.0485,207.9578
clearance,ZAF.9.3.1_1_44531,1405.0828,250.2754
clearance,ZAF.9.3.1_1_44531,1583.7528,285.6139
clearance,ZAF.9.3.1_1_44531,1816.2388,335.5501
clearance,ZAF.9.3.1_1_44531,1998.0952,367.2574
clearance,ZAF.9.3.1_1_44531,2203.9046,397.8108
clearance,ZAF.9.3.1_1_44531,2402.3857,433.5438
clearance,ZAF.9.3.1_1_44531,2613.9017,469.2993
clearance,ZAF.9.3.1_1_44531,2795.3346,507.3426
clearance,ZAF.9.3.1_1_44531,3000.7277,543.2331
clearance,ZAF.9.3.1_1_44531,3209.0076,586.9082
clearance,ZAF.9.3.1_1_44531,3418.1603,623.2706
clearance,ZAF.9.3.1_1_44531,3627.0565,663.8652
clearance,ZAF.9.3.1_1_44531,3831.6449,698.6402
clearance,ZAF.9.3.1_1_44531,4037.8138,736.5708
greedy_arterial_buildable,ZAF.9.3.1_1_44531,0.0000,0.0000
greedy_arterial_buildable,ZAF.9.3.1_1_44531,164.3388,32.1121
greedy_arterial_buildable,ZAF.9.3.1_1_44531,373.8841,71.7118
greedy_arterial_buildable,ZAF.9.3.1_1_44531,552.8582,100.0657
greedy_arterial_buildable,ZAF.9.3.1_1_44531,732.8453,118.7447
greedy_arterial_buildable,ZAF.9.3.1_1_44531,830.0446,138.0895
greedy_arterial_buildable,ZAF.9.3.1_1_44531,917.6094,153.1820
greedy_arterial_buildable,ZAF.9.3.1_1_44531,991.4185,169.4530
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1055.5913,175.7925
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1136.1853,189.8138
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1214.3997,200.6505
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1316.9749,207.0454
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1401.3625,219.5649
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1487.4376,234.5103
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1576.0210,241.8515
