method,block,displacement,permeability
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.0000,0
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.0102,0.130965
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.0252,0.215086
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.0304,0.224123
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.0489,0.277526
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.0650,0.348932
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.0848,0.476601
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.0958,0.510672
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.1085,0.58109
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.1223,0.613534
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.1306,0.625847
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.1412,0.642583
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.1470,0.648633
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.1562,0.661889
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.1660,0.669742
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.1738,0.673594
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.1804,0.677257
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.1832,0.677812
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.1876,0.679795
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.1900,0.680586
greedy_arterial_repulsion,ZAF.9.3.1_1_44531,0.1903,0.680628
clearance_looped,ZAF.9.3.1_1_44531,0.0000,0
clearance_looped,ZAF.9.3.1_1_44531,0.0096,0.231163
clearance_looped,ZAF.9.3.1_1_44531,0.0193,0.378304
clearance_looped,ZAF.9.3.1_1_44531,0.0270,0.449283
clearance_looped,ZAF.9.3.1_1_44531,0.0376,0.524444
clearance_looped,ZAF.9.3.1_1_44531,0.0481,0.577532
clearance_looped,ZAF.9.3.1_1_44531,0.0590,0.62402
clearance_looped,ZAF.9.3.1_1_44531,0.0655,0.646741
clearance_looped,ZAF.9.3.1_1_44531,0.0766,0.671922
clearance_looped,ZAF.9.3.1_1_44531,0.0875,0.697361
clearance_looped,ZAF.9.3.1_1_44531,0.0970,0.728623
clearance_looped,ZAF.9.3.1_1_44531,0.1065,0.751373
clearance_looped,ZAF.9.3.1_1_44531,0.1158,0.767115
clearance_looped,ZAF.9.3.1_1_44531,0.1255,0.779941
clearance_looped,ZAF.9.3.1_1_44531,0.1350,0.793719
clearance_looped,ZAF.9.3.1_1_44531,0.1422,0.80157
clearance_looped,ZAF.9.3.1_1_44531,0.1510,0.812975
clearance_looped,ZAF.9.3.1_1_44531,0.1623,0.830397
clearance_looped,ZAF.9.3.1_1_44531,0.1689,0.836515
clearance_looped,ZAF.9.3.1_1_44531,0.1757,0.84175
clearance_looped,ZAF.9.3.1_1_44531,0.1801,0.844681
euclidean_grid,ZAF.9.3.1_1_44531,0.0000,0
euclidean_grid,ZAF.9.3.1_1_44531,0.0007,0.00263955
euclidean_grid,ZAF.9.3.1_1_44531,0.0067,0.0188015
euclidean_grid,ZAF.9.3.1_1_44531,0.0163,0.110999
euclidean_grid,ZAF.9.3.1_1_44531,0.0293,0.261609
euclidean_grid,ZAF.9.3.1_1_44531,0.0372,0.35767
euclidean_grid,ZAF.9.3.1_1_44531,0.0415,0.369034
euclidean_grid,ZAF.9.3.1_1_44531,0.0479,0.44202
euclidean_grid,ZAF.9.3.1_1_44531,0.0495,0.445675
euclidean_grid,ZAF.9.3.1_1_44531,0.0605,0.46605
euclidean_grid,ZAF.9.3.1_1_44531,0.0624,0.472895
euclidean_grid,ZAF.9.3.1_1_44531,0.0648,0.479464
euclidean_grid,ZAF.9.3.1_1_44531,0.0726,0.520027
euclidean_grid,ZAF.9.3.1_1_44531,0.0773,0.533783
euclidean_grid,ZAF.9.3.1_1_44531,0.0814,0.540043
euclidean_grid,ZAF.9.3.1_1_44531,0.0832,0.567094
euclidean_grid,ZAF.9.3.1_1_44531,0.0902,0.598334
euclidean_grid,ZAF.9.3.1_1_44531,0.0990,0.617817
euclidean_grid,ZAF.9.3.1_1_44531,0.1058,0.622379
euclidean_grid,ZAF.9.3.1_1_44531,0.1087,0.639375
osm_footpaths,ZAF.9.3.1_1_44531,0.0000,0
osm_footpaths,ZAF.9.3.1_1_44531,0.0170,0.247094
osm_footpaths,ZAF.9.3.1_1_44531,0.0386,0.434801
osm_footpaths,ZAF.9.3.1_1_44531,0.0524,0.514645
osm_footpaths,ZAF.9.3.1_1_44531,0.0695,0.567935
osm_footpaths,ZAF.9.3.1_1_44531,0.0894,0.635263
osm_footpaths,ZAF.9.3.1_1_44531,0.1071,0.685216
osm_footpaths,ZAF.9.3.1_1_44531,0.1206,0.717189
osm_footpaths,ZAF.9.3.1_1_44531,0.1357,0.741734
osm_footpaths,ZAF.9.3.1_1_44531,0.1533,0.772689
osm_footpaths,ZAF.9.3.1_1_44531,0.1694,0.789574
osm_footpaths,ZAF.9.3.1_1_44531,0.1866,0.808533
osm_footpaths,ZAF.9.3.1_1_44531,0.1963,0.820822
osm_footpaths,ZAF.9.3.1_1_44531,0.2172,0.842397
osm_footpaths,ZAF.9.3.1_1_44531,0.2338,0.857544
osm_footpaths,ZAF.9.3.1_1_44531,0.2482,0.86676
osm_footpaths,ZAF.9.3.1_1_44531,0.2628,0.878194
osm_footpaths,ZAF.9.3.1_1_44531,0.2738,0.8854
osm_footpaths,ZAF.9.3.1_1_44531,0.2897,0.890918
osm_footpaths,ZAF.9.3.1_1_44531,0.3064,0.902336
osm_footpaths,ZAF.9.3.1_1_44531,0.3223,0.915007
