method,block,road_length_m,benefit
clearance,ZAF.9.3.1_1_44531,0.0000,0
clearance,ZAF.9.3.1_1_44531,194.7055,1.06796e-14
clearance,ZAF.9.3.1_1_44531,353.6455,7.28812e-15
clearance,ZAF.9.3.1_1_44531,586.2930,4.9717e-14
clearance,ZAF.9.3.1_1_44531,803.4723,4.16268e-14
clearance,ZAF.9.3.1_1_44531,1003.1982,3.17528e-14
clearance,ZAF.9.3.1_1_44531,1203.0485,3.03357e-14
clearance,ZAF.9.3.1_1_44531,1405.0828,2.65917e-14
clearance,ZAF.9.3.1_1_44531,1583.7528,2.66615e-14
clearance,ZAF.9.3.1_1_44531,1816.2388,2.51862e-14
clearance,ZAF.9.3.1_1_44531,1998.0952,2.39962e-14
clearance,ZAF.9.3.1_1_44531,2203.9046,2.05321e-14
clearance,ZAF.9.3.1_1_44531,2402.3857,1.94767e-14
clearance,ZAF.9.3.1_1_44531,2613.9017,1.92996e-14
clearance,ZAF.9.3.1_1_44531,2795.3346,1.84039e-14
clearance,ZAF.9.3.1_1_44531,3000.7277,1.77289e-14
clearance,ZAF.9.3.1_1_44531,3209.0076,1.73016e-14
clearance,ZAF.9.3.1_1_44531,3418.1603,1.75449e-14
clearance,ZAF.9.3.1_1_44531,3627.0565,1.37198e-14
clearance,ZAF.9.3.1_1_44531,3831.6449,1.28922e-14
clearance,ZAF.9.3.1_1_44531,4037.8138,1.23827e-14
greedy_arterial_buildable,ZAF.9.3.1_1_44531,0.0000,0
greedy_arterial_buildable,ZAF.9.3.1_1_44531,164.3388,0
greedy_arterial_buildable,ZAF.9.3.1_1_44531,373.8841,0.0809351
greedy_arterial_buildable,ZAF.9.3.1_1_44531,552.8582,0.115099
greedy_arterial_buildable,ZAF.9.3.1_1_44531,732.8453,0.135915
greedy_arterial_buildable,ZAF.9.3.1_1_44531,830.0446,0.152649
greedy_arterial_buildable,ZAF.9.3.1_1_44531,917.6094,0.164142
greedy_arterial_buildable,ZAF.9.3.1_1_44531,991.4185,0.171438
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1055.5913,0.204118
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1136.1853,0.211427
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1214.3997,0.217002
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1316.9749,0.220936
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1401.3625,0.22638
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1487.4376,0.317264
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1576.0210,0.323752
osm_footpaths,ZAF.9.3.1_1_44531,0.0000,0
osm_footpaths,ZAF.9.3.1_1_44531,519.0552,7.488e-15
osm_footpaths,ZAF.9.3.1_1_44531,1119.4795,3.5322e-15
osm_footpaths,ZAF.9.3.1_1_44531,1697.4194,0.0216087
osm_footpaths,ZAF.9.3.1_1_44531,2247.4268,0.0492259
osm_footpaths,ZAF.9.3.1_1_44531,2840.9806,0.0657605
osm_footpaths,ZAF.9.3.1_1_44531,3428.5379,0.0579667
osm_footpaths,ZAF.9.3.1_1_44531,4016.2504,0.0647306
osm_footpaths,ZAF.9.3.1_1_44531,4608.1580,0.111187
osm_footpaths,ZAF.9.3.1_1_44531,5174.3099,0.125756
osm_footpaths,ZAF.9.3.1_1_44531,5765.1554,0.14707
osm_footpaths,ZAF.9.3.1_1_44531,6341.0261,0.148031
osm_footpaths,ZAF.9.3.1_1_44531,6880.7148,0.146056
osm_footpaths,ZAF.9.3.1_1_44531,7528.1106,0.155244
osm_footpaths,ZAF.9.3.1_1_44531,8095.6847,0.167785
osm_footpaths,ZAF.9.3.1_1_44531,8683.3068,0.177962
osm_footpaths,ZAF.9.3.1_1_44531,9247.4034,0.216411
osm_footpaths,ZAF.9.3.1_1_44531,9844.3745,0.226445
osm_footpaths,ZAF.9.3.1_1_44531,10398.3889,0.242178
osm_footpaths,ZAF.9.3.1_1_44531,10977.4703,0.244604
osm_footpaths,ZAF.9.3.1_1_44531,11584.2149,0.248306
