method,block,displacement,permeability
clearance_looped,KEN.30.6_1_80,0.0000,0
clearance_looped,KEN.30.6_1_80,0.0051,0.287649
clearance_looped,KEN.30.6_1_80,0.0105,0.406733
clearance_looped,KEN.30.6_1_80,0.0174,0.483796
clearance_looped,KEN.30.6_1_80,0.0272,0.57062
clearance_looped,KEN.30.6_1_80,0.0352,0.603354
clearance_looped,KEN.30.6_1_80,0.0423,0.627071
clearance_looped,KEN.30.6_1_80,0.0511,0.655973
clearance_looped,KEN.30.6_1_80,0.0576,0.668262
clearance_looped,KEN.30.6_1_80,0.0625,0.676589
clearance_looped,KEN.30.6_1_80,0.0691,0.703904
clearance_looped,KEN.30.6_1_80,0.0748,0.711389
clearance_looped,KEN.30.6_1_80,0.0832,0.740135
clearance_looped,KEN.30.6_1_80,0.0910,0.75048
clearance_looped,KEN.30.6_1_80,0.0960,0.761151
clearance_looped,KEN.30.6_1_80,0.1047,0.768799
clearance_looped,KEN.30.6_1_80,0.1141,0.786387
clearance_looped,KEN.30.6_1_80,0.1215,0.795137
clearance_looped,KEN.30.6_1_80,0.1255,0.802295
clearance_looped,KEN.30.6_1_80,0.1321,0.804614
clearance_looped,KEN.30.6_1_80,0.1364,0.818633
euclidean_grid,KEN.30.6_1_80,0.0000,0
euclidean_grid,KEN.30.6_1_80,0.0016,0.000187586
euclidean_grid,KEN.30.6_1_80,0.0102,0.0407398
euclidean_grid,KEN.30.6_1_80,0.0122,0.0423434
euclidean_grid,KEN.30.6_1_80,0.0204,0.0480301
euclidean_grid,KEN.30.6_1_80,0.0295,0.412289
euclidean_grid,KEN.30.6_1_80,0.0318,0.419606
euclidean_grid,KEN.30.6_1_80,0.0381,0.43438
euclidean_grid,KEN.30.6_1_80,0.0441,0.480194
euclidean_grid,KEN.30.6_1_80,0.0516,0.515706
euclidean_grid,KEN.30.6_1_80,0.0657,0.67681
euclidean_grid,KEN.30.6_1_80,0.0711,0.714816
euclidean_grid,KEN.30.6_1_80,0.0736,0.716381
euclidean_grid,KEN.30.6_1_80,0.0773,0.723061
euclidean_grid,KEN.30.6_1_80,0.0929,0.774502
euclidean_grid,KEN.30.6_1_80,0.0997,0.795962
euclidean_grid,KEN.30.6_1_80,0.1083,0.839674
euclidean_grid,KEN.30.6_1_80,0.1165,0.864638
euclidean_grid,KEN.30.6_1_80,0.1238,0.877343
euclidean_grid,KEN.30.6_1_80,0.1312,0.884391
resistance_lp,KEN.30.6_1_80,0.0000,0
resistance_lp,KEN.30.6_1_80,0.0129,0.613676
resistance_lp,KEN.30.6_1_80,0.0249,0.784637
resistance_lp,KEN.30.6_1_80,0.0405,0.857418
resistance_lp,KEN.30.6_1_80,0.0546,0.89074
resistance_lp,KEN.30.6_1_80,0.0668,0.912594
resistance_lp,KEN.30.6_1_80,0.0792,0.926651
resistance_lp,KEN.30.6_1_80,0.0907,0.935762
resistance_lp,KEN.30.6_1_80,0.1018,0.942632
resistance_lp,KEN.30.6_1_80,0.1047,0.946846
resistance_lp,KEN.30.6_1_80,0.1198,0.953341
resistance_lp,KEN.30.6_1_80,0.1234,0.95835
resistance_lp,KEN.30.6_1_80,0.1254,0.959759
resistance_lp,KEN.30.6_1_80,0.1288,0.961475
resistance_lp,KEN.30.6_1_80,0.1368,0.964688
resistance_lp,KEN.30.6_1_80,0.1491,0.968323
resistance_lp,KEN.30.6_1_80,0.1531,0.975243
resistance_lp,KEN.30.6_1_80,0.1585,0.97707
resistance_lp,KEN.30.6_1_80,0.1644,0.978382
resistance_lp,KEN.30.6_1_80,0.1770,0.979671
resistance_lp,KEN.30.6_1_80,0.1999,0.982477
cycle_native,KEN.30.6_1_80,0.0000,0
cycle_native,KEN.30.6_1_80,0.0039,0.303202
cycle_native,KEN.30.6_1_80,0.0099,0.547345
cycle_native,KEN.30.6_1_80,0.0167,0.636258
cycle_native,KEN.30.6_1_80,0.0242,0.7191
cycle_native,KEN.30.6_1_80,0.0290,0.743536
cycle_native,KEN.30.6_1_80,0.0342,0.779327
cycle_native,KEN.30.6_1_80,0.0403,0.790999
cycle_native,KEN.30.6_1_80,0.0465,0.807779
cycle_native,KEN.30.6_1_80,0.0514,0.821764
cycle_native,KEN.30.6_1_80,0.0551,0.832129
cycle_native,KEN.30.6_1_80,0.0579,0.836122
cycle_native,KEN.30.6_1_80,0.0604,0.840227
cycle_native,KEN.30.6_1_80,0.0622,0.841813
cycle_native,KEN.30.6_1_80,0.0641,0.844054
cycle_native,KEN.30.6_1_80,0.0675,0.848728
cycle_native,KEN.30.6_1_80,0.0691,0.849135
cycle_native,KEN.30.6_1_80,0.0701,0.849817
cycle_native,KEN.30.6_1_80,0.0702,0.85027
cycle_native,KEN.30.6_1_80,0.0702,0.850283
cycle_native,KEN.30.6_1_80,0.0702,0.85029
osm_footpaths,KEN.30.6_1_80,0.0000,0
osm_footpaths,KEN.30.6_1_80,0.0016,0.00173381
osm_footpaths,KEN.30.6_1_80,0.0046,0.0501221
osm_footpaths,KEN.30.6_1_80,0.0049,0.0670655
osm_footpaths,KEN.30.6_1_80,0.0057,0.136592
osm_footpaths,KEN.30.6_1_80,0.0057,0.136612
osm_footpaths,KEN.30.6_1_80,0.0061,0.139681
osm_footpaths,KEN.30.6_1_80,0.0061,0.139681
osm_footpaths,KEN.30.6_1_80,0.0067,0.139802
osm_footpaths,KEN.30.6_1_80,0.0070,0.198035
osm_footpaths,KEN.30.6_1_80,0.0086,0.264317
osm_footpaths,KEN.30.6_1_80,0.0097,0.29239
osm_footpaths,KEN.30.6_1_80,0.0119,0.322659
osm_footpaths,KEN.30.6_1_80,0.0158,0.398501
osm_footpaths,KEN.30.6_1_80,0.0189,0.419231
